Simulation Frames,∆E Binding (KJ/mol)
1,-141.156
2,-49.498
3,-50.669
4,-49.162
5,-32.923
6,17.985
7,-11.384
8,9.65
9,-23.389
10,25.757
11,-6.904
12,-20.95
13,-13.275
14,-1.456
15,-14.648
16,-70.779
17,-15.193
18,-12.2
19,13.815
20,8.154
21,-12.493
22,-47.042
23,3.175
24,60.91
25,0.043
26,-40.908
27,-3.622
28,-14.65
29,-52.335
30,-33.847
31,-53.598
32,-111.298
33,-59.228
34,-44.385
35,-81.423
36,-38.644
37,-47.996
38,-67.248
39,-3.317
40,-41.389
41,-70.631
42,-34.436
43,2.568
44,-20.496
45,-23.45
46,-36.902
47,-34.349
48,-43.751
49,-15.23
50,20.6
51,16.386
52,-19.85
53,-0.534
54,-22.219
55,-43.504
56,-32.459
57,2.084
58,28.18
59,-47.625
60,-11.87
61,-15.566
62,-20.725
63,-39.737
64,-19.993
65,-44.697
66,0.283
67,-31.101
68,-45.249
69,-86.636
70,14.767
71,0.631
72,21.782
73,-24.833
74,-4.66
75,-50.719
76,-78.55
77,-7.936
78,-55.51
79,-33.675
80,0.381
81,-8.662
82,-71.952
83,-56.367
84,-50.137
85,-37.811
86,-76.552
87,7.08
88,-16.39
89,-20.475
90,-12.95
91,-10.175
92,-21.597
93,19.983
94,-38.739
95,-37.138
96,-29.391
97,-62.134
98,-25.637
99,-57.926
100,-61.19
101,-38.761
